Escuela_ID;Matrícula_por_Escuela_ID
9;697
14;333
22;483
60;197
74;687
194;305
197;625
210;438
250;335
253;469
288;58
346;586
378;199
384;435
392;510
393;332
417;516
457;117
461;122
477;146
478;321
485;276
486;350
494;171
511;78
514;416
552;318
582;324
621;172
989;980
990;637
991;808
993;720
997;702
1004;1084
1008;681
1010;494
1012;503
1015;316
1022;267
1023;1063
1024;237
1026;587
1027;287
1034;491
1037;417
1038;366
1043;653
1050;638
1052;773
1053;602
1054;563
1055;448
1065;630
1066;399
1069;576
1070;96
1073;844
1074;23
1080;638
1092;980
1096;919
1098;492
1099;1635
1103;467
1106;1121
1107;513
1108;760
1109;855
1110;513
1111;441
1116;668
1120;612
1121;545
1125;366
1133;577
1134;249
1140;634
1141;294
1142;312
1143;789
1144;567
1154;790
1162;337
1163;247
1168;142
1170;143
1176;318
1181;223
1189;377
1191;321
1198;220
1199;478
1200;129
1202;280
1204;371
1209;443
1224;106
1241;152
1450;679
1812;381
1813;371
1817;284
1818;402
1820;482
1823;276
1824;374
1831;274
1832;193
1837;353
1842;386
1844;355
1846;113
1847;351
1849;352
1852;353
1854;197
1856;176
1862;140
1865;157
1867;429
1869;351
1875;343
1877;158
1878;374
1882;311
1883;194
1884;729
1885;186
1887;148
1905;51
1908;334
1909;277
1910;336
1913;139
1914;169
1918;182
1926;362
1935;106
1936;156
1947;495
1948;11
1949;209
1951;446
1952;68
1953;155
1954;350
1955;301
1956;472
1957;415
1958;310
1959;316
1960;38
1961;40
1962;146
1964;279
1970;258
1975;103
1979;635
1980;446
1985;285
1987;278
1989;152
1993;57
1995;134
1998;297
1999;242
2001;225
2007;277
2015;368
2017;304
2021;273
2027;672
2039;91
2041;169
2047;188
2058;131
2353;346
2355;482
2358;405
2361;592
2389;482
2565;541
2572;331
2586;156
2587;436
2590;272
2639;93
2648;52
2661;116
2662;83
2667;343
2669;101
2670;98
2675;586
2676;266
2677;319
2680;139
2681;272
2682;106
3187;219
3191;147
3206;297
3210;136
4394;129
4984;120
5087;47
5089;62
5111;128
