Escuela_ID;DESEMPEÑO;Alumno_ID
9;Avanzado;74
9;Básico;195
9;Crítico;246
9;Medio;182
14;Avanzado;94
14;Básico;69
14;Crítico;72
14;Medio;98
22;Avanzado;111
22;Básico;101
22;Crítico;133
22;Medio;138
60;Avanzado;44
60;Básico;50
60;Crítico;37
60;Medio;66
74;Avanzado;186
74;Básico;165
74;Crítico;110
74;Medio;226
194;Avanzado;26
194;Básico;68
194;Crítico;153
194;Medio;58
197;Avanzado;79
197;Básico;104
197;Crítico;251
197;Medio;191
210;Avanzado;68
210;Básico;95
210;Crítico;166
210;Medio;109
250;Avanzado;54
250;Básico;102
250;Crítico;59
250;Medio;120
253;Avanzado;90
253;Básico;134
253;Crítico;118
253;Medio;127
288;Avanzado;5
288;Básico;18
288;Crítico;25
288;Medio;10
346;Avanzado;56
346;Básico;149
346;Crítico;245
346;Medio;136
378;Avanzado;25
378;Básico;47
378;Crítico;69
378;Medio;58
384;Avanzado;74
384;Básico;110
384;Crítico;122
384;Medio;129
392;Avanzado;80
392;Básico;86
392;Crítico;204
392;Medio;140
393;Avanzado;83
393;Básico;78
393;Crítico;55
393;Medio;116
417;Avanzado;52
417;Básico;135
417;Crítico;209
417;Medio;120
457;Avanzado;1
457;Básico;30
457;Crítico;65
457;Medio;21
461;Avanzado;2
461;Básico;26
461;Crítico;77
461;Medio;17
477;Avanzado;27
477;Básico;28
477;Crítico;70
477;Medio;21
478;Avanzado;20
478;Básico;84
478;Crítico;170
478;Medio;47
485;Avanzado;13
485;Básico;71
485;Crítico;143
485;Medio;49
486;Avanzado;21
486;Básico;114
486;Crítico;131
486;Medio;84
494;Avanzado;8
494;Básico;42
494;Crítico;81
494;Medio;40
511;Básico;5
511;Crítico;69
511;Medio;4
514;Avanzado;31
514;Básico;124
514;Crítico;172
514;Medio;89
552;Avanzado;18
552;Básico;70
552;Crítico;165
552;Medio;65
582;Avanzado;44
582;Básico;88
582;Crítico;88
582;Medio;104
621;Básico;26
621;Crítico;140
621;Medio;6
989;Avanzado;206
989;Básico;202
989;Crítico;125
989;Medio;447
990;Avanzado;52
990;Básico;194
990;Crítico;108
990;Medio;283
991;Avanzado;95
991;Básico;172
991;Crítico;119
991;Medio;422
993;Avanzado;57
993;Básico;206
993;Crítico;262
993;Medio;195
997;Avanzado;23
997;Básico;144
997;Crítico;455
997;Medio;80
1004;Avanzado;252
1004;Básico;194
1004;Crítico;105
1004;Medio;533
1008;Avanzado;60
1008;Básico;188
1008;Crítico;195
1008;Medio;238
1010;Avanzado;44
1010;Básico;141
1010;Crítico;173
1010;Medio;136
1012;Avanzado;61
1012;Básico;138
1012;Crítico;112
1012;Medio;192
1015;Avanzado;29
1015;Básico;69
1015;Crítico;107
1015;Medio;111
1022;Avanzado;21
1022;Básico;73
1022;Crítico;100
1022;Medio;73
1023;Avanzado;76
1023;Básico;194
1023;Crítico;526
1023;Medio;267
1024;Avanzado;9
1024;Básico;22
1024;Crítico;175
1024;Medio;31
1026;Avanzado;12
1026;Básico;219
1026;Crítico;203
1026;Medio;153
1027;Avanzado;12
1027;Básico;106
1027;Crítico;98
1027;Medio;71
1034;Avanzado;38
1034;Básico;137
1034;Crítico;103
1034;Medio;213
1037;Avanzado;21
1037;Básico;150
1037;Crítico;123
1037;Medio;123
1038;Avanzado;23
1038;Básico;117
1038;Crítico;103
1038;Medio;123
1043;Avanzado;97
1043;Básico;143
1043;Crítico;59
1043;Medio;354
1050;Avanzado;103
1050;Básico;167
1050;Crítico;122
1050;Medio;246
1052;Avanzado;32
1052;Básico;275
1052;Crítico;216
1052;Medio;250
1053;Avanzado;95
1053;Básico;149
1053;Crítico;189
1053;Medio;169
1054;Avanzado;22
1054;Básico;169
1054;Crítico;256
1054;Medio;116
1055;Avanzado;10
1055;Básico;113
1055;Crítico;246
1055;Medio;79
1065;Avanzado;61
1065;Básico;138
1065;Crítico;260
1065;Medio;171
1066;Avanzado;21
1066;Básico;130
1066;Crítico;131
1066;Medio;117
1069;Avanzado;28
1069;Básico;164
1069;Crítico;168
1069;Medio;216
1070;Avanzado;1
1070;Básico;2
1070;Crítico;92
1070;Medio;1
1073;Avanzado;39
1073;Básico;204
1073;Crítico;419
1073;Medio;182
1074;Básico;1
1074;Crítico;21
1074;Medio;1
1080;Avanzado;25
1080;Básico;204
1080;Crítico;268
1080;Medio;141
1092;Avanzado;118
1092;Básico;126
1092;Crítico;438
1092;Medio;298
1096;Avanzado;62
1096;Básico;246
1096;Crítico;385
1096;Medio;226
1098;Avanzado;26
1098;Básico;141
1098;Crítico;208
1098;Medio;117
1099;Avanzado;172
1099;Básico;302
1099;Crítico;608
1099;Medio;553
1103;Avanzado;50
1103;Básico;136
1103;Crítico;104
1103;Medio;177
1106;Avanzado;46
1106;Básico;344
1106;Crítico;422
1106;Medio;309
1107;Avanzado;30
1107;Básico;169
1107;Crítico;158
1107;Medio;156
1108;Avanzado;90
1108;Básico;241
1108;Crítico;157
1108;Medio;272
1109;Avanzado;26
1109;Básico;294
1109;Crítico;326
1109;Medio;209
1110;Avanzado;95
1110;Básico;130
1110;Crítico;63
1110;Medio;225
1111;Avanzado;10
1111;Básico;151
1111;Crítico;166
1111;Medio;114
1116;Avanzado;75
1116;Básico;187
1116;Crítico;151
1116;Medio;255
1120;Avanzado;65
1120;Básico;161
1120;Crítico;116
1120;Medio;270
1121;Avanzado;63
1121;Básico;122
1121;Crítico;191
1121;Medio;169
1125;Avanzado;6
1125;Básico;55
1125;Crítico;224
1125;Medio;81
1133;Avanzado;39
1133;Básico;202
1133;Crítico;195
1133;Medio;141
1134;Avanzado;11
1134;Básico;89
1134;Crítico;83
1134;Medio;66
1140;Avanzado;10
1140;Básico;188
1140;Crítico;346
1140;Medio;90
1141;Avanzado;4
1141;Básico;58
1141;Crítico;179
1141;Medio;53
1142;Avanzado;28
1142;Básico;67
1142;Crítico;128
1142;Medio;89
1143;Avanzado;573
1143;Básico;9
1143;Crítico;87
1143;Medio;120
1144;Avanzado;22
1144;Básico;156
1144;Crítico;260
1144;Medio;129
1154;Avanzado;24
1154;Básico;132
1154;Crítico;403
1154;Medio;231
1162;Avanzado;2
1162;Básico;66
1162;Crítico;246
1162;Medio;23
1163;Avanzado;4
1163;Básico;83
1163;Crítico;117
1163;Medio;43
1168;Avanzado;8
1168;Básico;36
1168;Crítico;66
1168;Medio;32
1170;Avanzado;4
1170;Básico;49
1170;Crítico;62
1170;Medio;28
1176;Avanzado;4
1176;Básico;74
1176;Crítico;212
1176;Medio;28
1181;Avanzado;4
1181;Básico;50
1181;Crítico;141
1181;Medio;28
1189;Avanzado;11
1189;Básico;120
1189;Crítico;170
1189;Medio;76
1191;Avanzado;5
1191;Básico;90
1191;Crítico;177
1191;Medio;49
1198;Avanzado;6
1198;Básico;66
1198;Crítico;115
1198;Medio;33
1199;Avanzado;17
1199;Básico;173
1199;Crítico;176
1199;Medio;112
1200;Avanzado;9
1200;Básico;33
1200;Crítico;49
1200;Medio;38
1202;Avanzado;7
1202;Básico;100
1202;Crítico;105
1202;Medio;68
1204;Avanzado;15
1204;Básico;101
1204;Crítico;183
1204;Medio;72
1209;Avanzado;23
1209;Básico;152
1209;Crítico;156
1209;Medio;112
1224;Avanzado;2
1224;Básico;25
1224;Crítico;71
1224;Medio;8
1241;Avanzado;6
1241;Básico;56
1241;Crítico;50
1241;Medio;40
1450;Avanzado;174
1450;Básico;166
1450;Crítico;109
1450;Medio;230
1812;Avanzado;91
1812;Básico;105
1812;Crítico;60
1812;Medio;125
1813;Avanzado;126
1813;Básico;61
1813;Crítico;73
1813;Medio;111
1817;Avanzado;107
1817;Básico;43
1817;Crítico;30
1817;Medio;104
1818;Avanzado;146
1818;Básico;88
1818;Crítico;31
1818;Medio;137
1820;Avanzado;135
1820;Básico;107
1820;Crítico;66
1820;Medio;174
1823;Avanzado;110
1823;Básico;43
1823;Crítico;13
1823;Medio;110
1824;Avanzado;104
1824;Básico;75
1824;Crítico;34
1824;Medio;161
1831;Avanzado;49
1831;Básico;55
1831;Crítico;62
1831;Medio;108
1832;Avanzado;58
1832;Básico;41
1832;Crítico;24
1832;Medio;70
1837;Avanzado;92
1837;Básico;61
1837;Crítico;47
1837;Medio;153
1842;Avanzado;141
1842;Básico;68
1842;Crítico;24
1842;Medio;153
1844;Avanzado;96
1844;Básico;81
1844;Crítico;29
1844;Medio;149
1846;Avanzado;57
1846;Básico;14
1846;Crítico;6
1846;Medio;36
1847;Avanzado;133
1847;Básico;60
1847;Crítico;49
1847;Medio;109
1849;Avanzado;176
1849;Básico;40
1849;Crítico;7
1849;Medio;129
1852;Avanzado;99
1852;Básico;71
1852;Crítico;28
1852;Medio;155
1854;Avanzado;44
1854;Básico;67
1854;Crítico;38
1854;Medio;48
1856;Avanzado;19
1856;Básico;50
1856;Crítico;48
1856;Medio;59
1862;Avanzado;23
1862;Básico;32
1862;Crítico;36
1862;Medio;49
1865;Avanzado;61
1865;Básico;32
1865;Crítico;2
1865;Medio;62
1867;Avanzado;110
1867;Básico;96
1867;Crítico;53
1867;Medio;170
1869;Avanzado;72
1869;Básico;85
1869;Crítico;61
1869;Medio;133
1875;Avanzado;196
1875;Básico;45
1875;Crítico;26
1875;Medio;76
1877;Avanzado;31
1877;Básico;36
1877;Crítico;34
1877;Medio;57
1878;Avanzado;101
1878;Básico;93
1878;Crítico;29
1878;Medio;151
1882;Avanzado;129
1882;Básico;61
1882;Crítico;26
1882;Medio;95
1883;Avanzado;51
1883;Básico;42
1883;Crítico;32
1883;Medio;69
1884;Avanzado;299
1884;Básico;133
1884;Crítico;54
1884;Medio;243
1885;Avanzado;62
1885;Básico;47
1885;Crítico;14
1885;Medio;63
1887;Avanzado;16
1887;Básico;45
1887;Crítico;57
1887;Medio;30
1905;Básico;22
1905;Crítico;17
1905;Medio;12
1908;Avanzado;43
1908;Básico;92
1908;Crítico;114
1908;Medio;85
1909;Avanzado;116
1909;Básico;48
1909;Crítico;23
1909;Medio;90
1910;Avanzado;142
1910;Básico;61
1910;Crítico;32
1910;Medio;101
1913;Avanzado;49
1913;Básico;21
1913;Crítico;11
1913;Medio;58
1914;Avanzado;13
1914;Básico;63
1914;Crítico;55
1914;Medio;38
1918;Avanzado;70
1918;Básico;41
1918;Crítico;21
1918;Medio;50
1926;Avanzado;99
1926;Básico;92
1926;Crítico;45
1926;Medio;126
1935;Avanzado;51
1935;Básico;13
1935;Medio;42
1936;Avanzado;44
1936;Básico;41
1936;Crítico;14
1936;Medio;57
1947;Avanzado;207
1947;Básico;54
1947;Crítico;32
1947;Medio;202
1948;Crítico;11
1949;Avanzado;22
1949;Básico;32
1949;Crítico;65
1949;Medio;90
1951;Avanzado;43
1951;Básico;145
1951;Crítico;56
1951;Medio;202
1952;Avanzado;11
1952;Básico;11
1952;Crítico;13
1952;Medio;33
1953;Avanzado;15
1953;Básico;34
1953;Crítico;20
1953;Medio;86
1954;Avanzado;73
1954;Básico;60
1954;Crítico;33
1954;Medio;184
1955;Avanzado;64
1955;Básico;61
1955;Crítico;23
1955;Medio;153
1956;Avanzado;152
1956;Básico;67
1956;Crítico;41
1956;Medio;212
1957;Avanzado;62
1957;Básico;83
1957;Crítico;43
1957;Medio;227
1958;Avanzado;50
1958;Básico;76
1958;Crítico;33
1958;Medio;151
1959;Avanzado;64
1959;Básico;57
1959;Crítico;36
1959;Medio;159
1960;Avanzado;7
1960;Básico;4
1960;Crítico;12
1960;Medio;15
1961;Básico;14
1961;Crítico;23
1961;Medio;3
1962;Avanzado;28
1962;Básico;30
1962;Crítico;14
1962;Medio;74
1964;Avanzado;35
1964;Básico;93
1964;Crítico;44
1964;Medio;107
1970;Avanzado;21
1970;Básico;71
1970;Crítico;62
1970;Medio;104
1975;Avanzado;36
1975;Básico;4
1975;Crítico;6
1975;Medio;57
1979;Avanzado;107
1979;Básico;164
1979;Crítico;36
1979;Medio;328
1980;Avanzado;212
1980;Básico;36
1980;Crítico;14
1980;Medio;184
1985;Avanzado;161
1985;Básico;10
1985;Crítico;20
1985;Medio;94
1987;Avanzado;48
1987;Básico;73
1987;Crítico;28
1987;Medio;129
1989;Avanzado;7
1989;Básico;50
1989;Crítico;41
1989;Medio;54
1993;Avanzado;10
1993;Básico;3
1993;Crítico;14
1993;Medio;30
1995;Avanzado;25
1995;Básico;32
1995;Crítico;5
1995;Medio;72
1998;Avanzado;28
1998;Básico;84
1998;Crítico;54
1998;Medio;131
1999;Avanzado;11
1999;Básico;60
1999;Crítico;88
1999;Medio;83
2001;Avanzado;33
2001;Básico;51
2001;Crítico;23
2001;Medio;118
2007;Avanzado;67
2007;Básico;41
2007;Crítico;36
2007;Medio;133
2015;Avanzado;67
2015;Básico;81
2015;Crítico;105
2015;Medio;115
2017;Avanzado;55
2017;Básico;96
2017;Crítico;39
2017;Medio;114
2021;Avanzado;44
2021;Básico;69
2021;Crítico;21
2021;Medio;139
2027;Avanzado;174
2027;Básico;115
2027;Crítico;66
2027;Medio;317
2039;Avanzado;22
2039;Básico;14
2039;Crítico;10
2039;Medio;45
2041;Avanzado;16
2041;Básico;59
2041;Crítico;19
2041;Medio;75
2047;Avanzado;1
2047;Básico;51
2047;Crítico;115
2047;Medio;21
2058;Avanzado;28
2058;Básico;31
2058;Crítico;15
2058;Medio;57
2353;Avanzado;48
2353;Básico;83
2353;Crítico;93
2353;Medio;122
2355;Avanzado;46
2355;Básico;118
2355;Crítico;208
2355;Medio;110
2358;Avanzado;102
2358;Básico;74
2358;Crítico;71
2358;Medio;158
2361;Avanzado;160
2361;Básico;131
2361;Crítico;89
2361;Medio;212
2389;Avanzado;140
2389;Básico;115
2389;Crítico;64
2389;Medio;163
2565;Avanzado;129
2565;Básico;126
2565;Crítico;109
2565;Medio;177
2572;Avanzado;64
2572;Básico;77
2572;Crítico;80
2572;Medio;110
2586;Avanzado;55
2586;Básico;31
2586;Crítico;10
2586;Medio;60
2587;Avanzado;114
2587;Básico;78
2587;Crítico;64
2587;Medio;180
2590;Avanzado;70
2590;Básico;74
2590;Crítico;32
2590;Medio;96
2639;Avanzado;29
2639;Básico;17
2639;Crítico;17
2639;Medio;30
2648;Avanzado;14
2648;Básico;14
2648;Crítico;12
2648;Medio;12
2661;Avanzado;64
2661;Básico;19
2661;Crítico;6
2661;Medio;27
2662;Avanzado;26
2662;Básico;16
2662;Crítico;5
2662;Medio;36
2667;Avanzado;38
2667;Básico;84
2667;Crítico;70
2667;Medio;151
2669;Avanzado;35
2669;Básico;15
2669;Crítico;11
2669;Medio;40
2670;Avanzado;36
2670;Básico;9
2670;Crítico;3
2670;Medio;50
2675;Avanzado;70
2675;Básico;166
2675;Crítico;79
2675;Medio;271
2676;Avanzado;43
2676;Básico;65
2676;Crítico;30
2676;Medio;128
2677;Avanzado;26
2677;Básico;91
2677;Crítico;21
2677;Medio;181
2680;Avanzado;18
2680;Básico;31
2680;Crítico;13
2680;Medio;77
2681;Avanzado;170
2681;Básico;23
2681;Crítico;17
2681;Medio;62
2682;Avanzado;9
2682;Básico;38
2682;Crítico;29
2682;Medio;30
3187;Avanzado;39
3187;Básico;55
3187;Crítico;58
3187;Medio;67
3191;Avanzado;23
3191;Básico;40
3191;Crítico;35
3191;Medio;49
3206;Avanzado;98
3206;Básico;57
3206;Crítico;29
3206;Medio;113
3210;Avanzado;4
3210;Básico;47
3210;Crítico;57
3210;Medio;28
4394;Avanzado;12
4394;Básico;39
4394;Crítico;36
4394;Medio;42
4984;Avanzado;52
4984;Básico;17
4984;Crítico;7
4984;Medio;44
5087;Avanzado;4
5087;Básico;20
5087;Crítico;8
5087;Medio;15
5089;Avanzado;9
5089;Básico;13
5089;Crítico;6
5089;Medio;34
5111;Avanzado;14
5111;Básico;25
5111;Crítico;52
5111;Medio;37
